Country Name,CO2 emissions,RENEWABLE ENERGY/PER CENT,GDP/CAPITA
Albania,3.2329,41.4,1160.420471
Algeria,87.9391,0.4,1772.928691
Andorra,,14.5,21810.25038
Angola,16.512,73.8,563.7337956
Argentina,136.7561,9.8,7637.014892
Armenia,3.5697,7.2,593.4505817
Australia,353.8956,8.4,21908.9968
Austria,66.6946,26.4,24487.29747
Azerbaijan,28.7946,2.1,655.0972496
Bangladesh,26.9773,60.2,396.6707302
Belgium,124.8977,1.4,23098.88651
Botswana,4.0996,38.5,3450.811806
Brazil,349.4076,42.7,3766.547863
Bulgaria,48.1779,8,1621.262107
Burkina Faso,0.8726,83.9,248.9085269
Burundi,0.2925,93.2,134.5378618
Cambodia,2.0014,81.6,296.4266875
Cameroon,5.7263,84.6,708.5657316
Canada,543.1076,20.3,24271.00206
Chile,53.8569,31.4,5052.992458
China,3647.8773,29.6,969.1995137
Colombia,63.4164,27.9,2555.00751
"Congo, Dem. Rep.",1.8775,97.9,377.9254215
Costa Rica,5.1314,33,3812.753883
Cote d'Ivoire,6.9672,63.7,936.6365413
Croatia,19.378,26.8,4953.651588
Czechia,132.3167,5.9,6062.921528
Denmark,53.1494,10.7,30722.02518
Dominica,0.0542,11.1,4867.398963
Dominican Republic,19.0138,19.1,2831.458836
Ecuador,22.0624,19.4,1382.234218
"Egypt, Arab Rep.",127.9157,8.3,1366.092744
El Salvador,5.7988,33.5,1982.870935
Eswatini,1.0976,60.1,1629.670388
Ethiopia,3.8766,95.5,122.2692026
France,400.866,9.3,22340.59395
Gabon,6.6039,72.8,3982.906201
Georgia,5.2126,47.2,749.908535
Germany,871.3847,3.7,23925.85599
Ghana,6.0172,71.6,253.7469362
Greece,96.0663,7.8,11638.20107
Guinea,1.4601,85.5,518.1570669
Guyana,1.6621,30.4,931.7966517
Hungary,59.4623,5.2,4629.917608
Iceland,2.8524,60.7,32503.57896
India,996.8909,46.9,442.7502189
Indonesia,299.0702,45.6,763.711125
Ireland,43.827,2,26334.56721
Israel,59.2839,6,21706.51941
Italy,454.3191,5.1,20190.00356
Jamaica,10.2444,9.3,3453.092528
Japan,1243.5768,3.7,39169.35957
Kenya,8.9072,76.8,414.6263651
"Korea, Rep.",466.4031,0.7,12710.29958
Liberia,0.3992,91.3,298.4853406
Libya,49.2846,2,7214.100404
Madagascar,1.6942,82.2,280.2829056
Malawi,3.0984,82.6,224.2241592
Malaysia,130.7612,4.4,4083.528745
Maldives,0.6278,2.3,2213.812351
Mali,0.796,83.5,304.6528702
Malta,2.135,0,10348.48589
Mexico,396.7431,12.2,7524.027138
Mongolia,9.0405,5.7,476.0275508
Morocco,33.5686,15.5,1499.107422
Mozambique,1.571,93.6,327.1262398
Myanmar,10.042,80.2,196.6195806
Namibia,1.9154,34.8,2156.675905
Nepal,3.4194,88.3,223.8302892
Netherlands,176.8545,1.7,26225.16977
New Caledonia,2.1568,7.5,15329.72972
New Zealand,32.9982,26.4,13641.10272
Nigeria,100.1949,86,547.3182989
North Macedonia,9.0375,19.4,1861.898998
Norway,41.7695,60.2,38178.23688
Pakistan,111.8899,51,642.3383465
Panama,5.1903,27.7,3975.093103
Paraguay,3.6426,70.4,1736.117292
Peru,28.9865,38.6,1945.413385
Poland,313.0274,6.9,4520.641004
Portugal,64.2448,20.1,11526.37207
Qatar,31.7522,0.1,27535.18294
Romania,97.504,16.4,1659.929049
Russian Federation,1681.1521,3.5,1771.594116
Rwanda,0.6805,86.8,251.8692639
Saudi Arabia,265.2402,0,11714.56237
Spain,310.3327,7.9,14743.2671
Sweden,57.9841,39.8,29632.58908
Switzerland,44.7643,18.2,38865.02194
Tanzania,3.112,93.6,401.6981506
Tunisia,21.131,14.2,2199.044659
Turkiye,227.0564,17.3,4199.379864
Uganda,1.4139,95.3,258.0503387
Ukraine,361.0273,1.2,653.2943115
United Arab Emirates,88.4569,0.1,29865.50235
United Kingdom,551.9584,1,28383.87611
United States,5928.7614,5.4,36329.95607
"Venezuela, RB",137.7453,15.3,4776.281676
Viet Nam,56.5356,57.7,404.0297841
Zambia,1.9522,90,359.429501
