Country Name,CO2 emissions/Per Capita,RENEWABLE ENERGY/PER CENT,GDP/CAPITA,URBAN POPULATION
Albania,1.806460799,44.4,6027.913507,57.14085922
Algeria,3.904231068,0.1,3743.541952,73.05411263
Angola,0.613970254,60.1,1759.356199,67.45682702
Argentina,3.720028549,9.8,8535.59938,91.94390266
Armenia,2.334796556,8.4,4268.680933,65.17421725
Australia,15.30437851,11.2,51983.45237,87.27134705
Austria,7.055866278,35.8,48716.40989,68.54101779
Azerbaijan,3.508003124,1.3,4229.910649,58.29346918
Bangladesh,0.626122292,27.2,2248.850788,31.11689273
Belgium,7.966942968,12.3,45906.28758,87.2964995
Botswana,2.574882898,27.7,6323.297497,66.44881665
Brazil,2.146646183,50,7074.194075,86.91121865
Bulgaria,6.016933163,21.1,10760.21198,73.32398987
Burkina Faso,0.265430527,73.1,825.2370388,26.35783736
Burundi,0.07337698,83.4,255.8324539,19.93099843
Cambodia,1.114061102,51.4,2081.739142,39.83265803
Cameroon,0.396328838,78.9,1555.603707,54.25579492
Canada,14.42190488,23.9,43537.8393,81.95098887
Chile,4.517706812,26.7,13114.81547,88.29534904
China,8.47858302,14.9,10627.4638,63.52342303
Colombia,1.66507219,32,5339.687114,77.63825335
"Congo, Dem. Rep.",0.048248777,96.2,486.4255727,43.25286025
Costa Rica,1.425296763,36.4,12394.0494,77.52115373
Cote d'Ivoire,0.459550187,61.8,2179.729348,51.83576608
Croatia,4.392078496,32.4,14807.56085,56.52848634
Czechia,8.867158267,17,23472.89155,72.72549016
Denmark,4.765216061,39.5,60985.48856,88.23944855
Dominica,1.140988265,8.6,7827.748427,71.84657678
Dominican Republic,2.445972584,16,7135.222733,73.26437938
Ecuador,2.085857997,20.2,5463.645153,63.07738978
"Egypt, Arab Rep.",2.252058004,6.7,3511.11381,42.51815346
El Salvador,1.06717706,23.7,3997.192796,73.05702209
Eswatini,0.805379931,63.7,3466.569363,24.66527989
Ethiopia,0.15149809,90.7,829.7909825,21.62600517
France,4.246776421,16.8,39169.8606,78.71191318
Gabon,2.380455183,91.3,6605.803461,90.34807504
Georgia,3.100048459,23.4,4300.857013,58.99905528
Germany,7.721032648,18.5,47394.87345,81.4700055
Ghana,0.719579072,40,2195.454817,56.2171614
Greece,4.894154833,20.1,17886.73317,78.30668425
Guinea,0.403359972,65.8,1053.660977,36.48022081
Guyana,4.123688359,12,6775.709391,26.43403974
Hungary,5.134431093,14.8,16386.93088,70.29173279
Iceland,8.382019467,82.9,60127.93936,94.13671029
India,1.680400161,36.1,1907.042516,34.12867261
Indonesia,2.169765809,21.9,3853.702888,56.27852876
Ireland,6.804567769,13.7,86514.07061,63.47133667
Israel,6.662163189,5.6,44575.5719,91.57884532
Italy,4.96667407,18.7,32091.48666,69.51874924
Jamaica,2.092351149,11.7,5299.045308,57.11036476
Japan,8.397105203,8.5,40028.73417,91.78099263
Kenya,0.367016056,69,1927.66459,31.20634946
"Korea, Rep.",11.90944428,3.6,33645.77195,81.17595956
Liberia,0.162113991,93,616.787867,53.38786856
Libya,6.486857593,3.2,6650.338106,87.82782671
Madagascar,0.108038543,84.7,450.7716152,30.70194742
Malawi,0.266526561,71.5,602.5074782,16.29614718
Malaysia,7.46778698,7,9957.526267,75.05118956
Maldives,2.405808993,1.6,7393.888654,40.39851479
Mali,0.315153895,72.8,953.2429433,29.0205973
Malta,3.143416943,9.2,31823.43639,95.18410823
Mexico,3.462471416,12.3,8841.27075,78.6779606
Mongolia,6.767093331,2.9,4001.251931,68.08947718
Morocco,1.847428267,11.1,3268.030273,62.0933436
Mozambique,0.258364105,80.2,462.4338765,33.90440064
Myanmar,0.65486378,59.2,1490.216836,30.159305
Namibia,1.298904045,31.2,3878.58983,48.54738175
Nepal,0.568109988,73.1,1154.215176,66.10508861
Netherlands,8.150698048,10.7,53467.92774,94.25322778
New Caledonia,19.87430325,6.1,33270.3306,67.27472611
New Zealand,6.835009069,28.7,41997.78303,83.81389771
Nigeria,0.555700571,81.8,2797.184581,59.76596548
North Macedonia,4.083994388,20,6659.596511,61.15933027
Norway,8.124937842,60.9,68340.0181,82.70298857
Pakistan,0.947225728,42.7,1278.397352,37.50801929
Panama,2.26231296,28.5,13290.56084,65.78629996
Paraguay,1.189462515,61.5,5365.472207,66.11652099
Peru,1.447468235,31.6,6133.325524,83.52674372
Poland,7.913474096,16.1,16150.93048,59.87381411
Portugal,3.947176875,31.3,22299.40441,61.10425668
Qatar,41.27809264,0,51683.56811,99.16179138
Romania,3.929411765,24.1,13009.17706,52.61194725
Russian Federation,12.28405303,3.7,10108.32715,74.69322168
Rwanda,0.111389726,81.7,778.7014989,24.50297611
Saudi Arabia,18.29028816,0.1,24338.83073,83.80643529
Spain,4.528234972,19.3,27233.94265,79.69556746
Sweden,3.674024542,57.8,52568.5727,87.94240469
Switzerland,4.160616483,26.4,85897.78433,82.34168385
Tanzania,0.273515413,80.8,1117.415283,33.8547246
Tunisia,2.39839346,12.9,3548.653637,69.10431664
Turkiye,5.073959629,13.7,8798.117917,88.9303115
Uganda,0.16014971,91.6,845.7664639,28.53997523
Ukraine,4.451592159,8.7,3709.769287,69.38391005
United Arab Emirates,20.81410585,0.9,37991.7493,85.19552557
United Kingdom,4.789889728,13.6,40812.67947,82.90000153
United States,13.47158217,11,63515.94918,79.99745176
"Venezuela, RB",2.695313334,31.2,1506.043621,89.13990566
Viet Nam,3.551533169,18.9,3534.039535,35.57066763
Zambia,0.500068339,85.4,951.6443167,43.86444894
